ID,Latitude,Longitude,Date,,,,MOD13A2_006__1_km_16_days_NDVI,MOD13A2_006__1_km_16_days_composite_day_of_the_year,MOD13A2_006__1_km_16_days_VI_Quality
AFG01a,36.675,66.798,12/07/2002,,,,0.241,199,2112
AFG01a,36.675,66.798,28/07/2002,,,,0.253,215,2112
AFG01a,36.675,66.798,13/08/2002,,,,0.3008,231,2112
AFG01a,36.675,66.798,29/08/2002,,,,0.3171,245,2112
AFG01a,36.675,66.798,14/09/2002,,,,0.3151,263,2112
AFG01a,36.675,66.798,30/09/2002,,,,0.2412,286,2112
AFG01a,36.675,66.798,16/10/2002,,,,0.2557,295,2112
AFG01a,36.675,66.798,01/11/2002,,,,0.2385,311,3150
AFG01a,36.675,66.798,17/11/2002,,,,0.2273,327,2112
AFG01a,36.675,66.798,03/12/2002,,,,0.0391,339,18445
AFG01a,36.675,66.798,19/12/2002,,,,0.162,3,2116
AFG01a,36.675,66.798,01/01/2003,,,,0.1652,3,2116
AFG01a,36.675,66.798,17/01/2003,,,,0.1487,28,3150
AFG01a,36.675,66.798,02/02/2003,,,,0.1442,33,2112
AFG01a,36.675,66.798,18/02/2003,,,,0.1443,51,3150
AFG01a,36.675,66.798,06/03/2003,,,,0.2138,76,2181
AFG01a,36.675,66.798,22/03/2003,,,,0.3749,94,2185
AFG01a,36.675,66.798,07/04/2003,,,,0.5243,106,2112
AFG01a,36.675,66.798,23/04/2003,,,,0.5639,118,2112
AFG01a,36.675,66.798,09/05/2003,,,,0.4642,131,2112
AFG01a,36.675,66.798,25/05/2003,,,,0.3414,154,2112
AFG01a,36.675,66.798,10/06/2003,,,,0.3037,161,2112
AFG01a,36.675,66.798,26/06/2003,,,,0.2609,177,2112
AFG01a,36.675,66.798,12/07/2003,,,,0.2807,202,2112
AFG01a,36.675,66.798,28/07/2003,,,,0.325,209,2112
AFG01a,36.675,66.798,13/08/2003,,,,0.3792,225,2112
AFG01a,36.675,66.798,29/08/2003,,,,0.3918,241,2112
AFG01a,36.675,66.798,14/09/2003,,,,0.3894,257,2112
AFG01a,36.675,66.798,30/09/2003,,,,0.3449,273,2112
AFG01a,36.675,66.798,16/10/2003,,,,0.3306,289,2112
AFG01a,36.675,66.798,01/11/2003,,,,0.311,310,2112
AFG01a,36.675,66.798,17/11/2003,,,,0.2325,328,2112
AFG01a,36.675,66.798,03/12/2003,,,,0.2027,344,2116
AFG01a,36.675,66.798,19/12/2003,,,,0.1814,7,2257
AFG01a,36.675,66.798,01/01/2004,,,,0.1962,13,2116
AFG01a,36.675,66.798,17/01/2004,,,,0.1881,22,2185
AFG01a,36.675,66.798,02/02/2004,,,,0.1896,36,2112
AFG01a,36.675,66.798,18/02/2004,,,,0.1919,54,2182
AFG01a,36.675,66.798,05/03/2004,,,,0.2028,70,3218
AFG01a,36.675,66.798,21/03/2004,,,,0.2572,84,2112
AFG01a,36.675,66.798,06/04/2004,,,,0.332,102,2112
AFG01a,36.675,66.798,22/04/2004,,,,0.4107,125,2112
AFG01a,36.675,66.798,08/05/2004,,,,0.3877,132,2112
AFG01a,36.675,66.798,24/05/2004,,,,0.3277,148,2112
AFG01a,36.675,66.798,09/06/2004,,,,0.2582,164,2112
AFG01a,36.675,66.798,25/06/2004,,,,0.2547,180,2112
AFG01a,36.675,66.798,11/07/2004,,,,0.2904,198,2112
AFG01a,36.675,66.798,27/07/2004,,,,0.3287,212,2112
AFG01a,36.675,66.798,12/08/2004,,,,0.3429,230,2112
AFG01a,36.675,66.798,28/08/2004,,,,0.3802,244,2112
AFG01a,36.675,66.798,13/09/2004,,,,0.2874,260,2112
AFG01a,36.675,66.798,29/09/2004,,,,0.2964,278,2112
AFG01a,36.675,66.798,15/10/2004,,,,0.274,292,2112
AFG01a,36.675,66.798,31/10/2004,,,,0.1952,308,2112
AFG01a,36.675,66.798,16/11/2004,,,,0.2294,328,2112
AFG01a,36.675,66.798,02/12/2004,,,,0.2002,340,2116
AFG01a,36.675,66.798,18/12/2004,,,,0.2113,6,2116
AFG01a,36.675,66.798,01/01/2005,,,,0.2113,6,2116
AFG01a,36.675,66.798,17/01/2005,,,,0.2375,18,2185
AFG01a,36.675,66.798,02/02/2005,,,,0.2144,36,2253
AFG01a,36.675,66.798,18/02/2005,,,,0.2109,63,2181
AFG01a,36.675,66.798,06/03/2005,,,,0.2671,68,2112
AFG01a,36.675,66.798,22/03/2005,,,,0.3779,88,2112
AFG01a,36.675,66.798,07/04/2005,,,,0.4101,102,2112
AFG01a,36.675,66.798,23/04/2005,,,,0.4687,118,2112
AFG01a,36.675,66.798,09/05/2005,,,,0.4045,134,2112
AFG01a,36.675,66.798,25/05/2005,,,,0.308,150,2112
AFG01a,36.675,66.798,10/06/2005,,,,0.2708,166,2112
AFG01a,36.675,66.798,26/06/2005,,,,0.2762,182,2112
AFG01a,36.675,66.798,12/07/2005,,,,0.334,198,2112
AFG01a,36.675,66.798,28/07/2005,,,,0.3501,223,2112
AFG01a,36.675,66.798,13/08/2005,,,,0.3951,230,2112
AFG01a,36.675,66.798,29/08/2005,,,,0.3823,246,2112
AFG01a,36.675,66.798,14/09/2005,,,,0.3737,262,2112
AFG01a,36.675,66.798,30/09/2005,,,,0.2713,278,2112
AFG01a,36.675,66.798,16/10/2005,,,,0.2387,294,2112
AFG01a,36.675,66.798,01/11/2005,,,,0.1969,310,2112
AFG01a,36.675,66.798,17/11/2005,,,,0.2374,326,2112
